Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
registrasi,Firefox 88.0,"test suite dengan data test yang berbeda yang didapat dari Data Files 	user
terdiri dari 5 test case dengan 4 test case negative dan 1 test case positive ketika user memasukkan data email yang sesuai",,2021-04-21 15:15:41,2021-04-21 15:17:16,1m - 34.911s,PASSED
,,,,,,,
Test Cases/registrasi email,Firefox 88.0,,,2021-04-21 15:15:42,2021-04-21 15:16:03,21.000s,PASSED
"openBrowser("""")",Firefox 88.0,,,2021-04-21 15:15:42,2021-04-21 15:15:48,5.315s,PASSED
navigateToUrl(url),Firefox 88.0,,,2021-04-21 15:15:48,2021-04-21 15:15:51,2.987s,PASSED
"waitForElementClickable(findTestObject(""registration page/btn_buat_akun_baru""), timeOut)",Firefox 88.0,,,2021-04-21 15:15:51,2021-04-21 15:15:51,0.487s,PASSED
"click(findTestObject(""registration page/btn_buat_akun_baru""))",Firefox 88.0,,,2021-04-21 15:15:51,2021-04-21 15:15:52,0.748s,PASSED
"waitForElementVisible(findTestObject(""registration page/nama_depan""), timeOut)",Firefox 88.0,,,2021-04-21 15:15:52,2021-04-21 15:15:54,1.925s,PASSED
"setText(findTestObject(""registration page/nama_depan""), nama_depan)",Firefox 88.0,,,2021-04-21 15:15:54,2021-04-21 15:15:55,0.561s,PASSED
"setText(findTestObject(""registration page/nama_belakang""), nama_belakang)",Firefox 88.0,,,2021-04-21 15:15:55,2021-04-21 15:15:55,0.535s,PASSED
"setText(findTestObject(""registration page/email_no""), no_email)",Firefox 88.0,,,2021-04-21 15:15:55,2021-04-21 15:15:56,0.743s,PASSED
"reinput = verifyElementVisible(findTestObject(""registration page/reinput_email""), OPTIONAL)",Firefox 88.0,,,2021-04-21 15:15:56,2021-04-21 15:15:56,0.675s,PASSED
if (reinput == true),Firefox 88.0,,,2021-04-21 15:15:56,2021-04-21 15:15:56,0.001s,PASSED
"setEncryptedText(findTestObject(""registration page/password""), password)",Firefox 88.0,,,2021-04-21 15:15:56,2021-04-21 15:15:57,0.415s,PASSED
"selectOptionByValue(findTestObject(""registration page/dropdown_tahun""), tahun, true)",Firefox 88.0,,,2021-04-21 15:15:57,2021-04-21 15:15:59,2.403s,PASSED
"click(findTestObject(""registration page/label_perempuan""))",Firefox 88.0,,,2021-04-21 15:15:59,2021-04-21 15:16:00,0.612s,PASSED
"click(findTestObject(""registration page/btn_daftar""))",Firefox 88.0,,,2021-04-21 15:16:00,2021-04-21 15:16:00,0.514s,PASSED
"text = verifyTextPresent(""Harap masukkan nomor telepon atau alamat email yang valid"", false, OPTIONAL)",Firefox 88.0,,,2021-04-21 15:16:00,2021-04-21 15:16:01,0.995s,PASSED
if (text == true),Firefox 88.0,,,2021-04-21 15:16:01,2021-04-21 15:16:02,0.657s,PASSED
closeBrowser(),Firefox 88.0,,,2021-04-21 15:16:02,2021-04-21 15:16:03,0.860s,PASSED
,,,,,,,
Test Cases/registrasi email,Firefox 88.0,,,2021-04-21 15:16:03,2021-04-21 15:16:20,16.949s,PASSED
"openBrowser("""")",Firefox 88.0,,,2021-04-21 15:16:03,2021-04-21 15:16:08,4.560s,PASSED
navigateToUrl(url),Firefox 88.0,,,2021-04-21 15:16:08,2021-04-21 15:16:09,1.722s,PASSED
"waitForElementClickable(findTestObject(""registration page/btn_buat_akun_baru""), timeOut)",Firefox 88.0,,,2021-04-21 15:16:09,2021-04-21 15:16:10,0.297s,PASSED
"click(findTestObject(""registration page/btn_buat_akun_baru""))",Firefox 88.0,,,2021-04-21 15:16:10,2021-04-21 15:16:10,0.571s,PASSED
"waitForElementVisible(findTestObject(""registration page/nama_depan""), timeOut)",Firefox 88.0,,,2021-04-21 15:16:10,2021-04-21 15:16:11,0.793s,PASSED
"setText(findTestObject(""registration page/nama_depan""), nama_depan)",Firefox 88.0,,,2021-04-21 15:16:11,2021-04-21 15:16:12,0.538s,PASSED
"setText(findTestObject(""registration page/nama_belakang""), nama_belakang)",Firefox 88.0,,,2021-04-21 15:16:12,2021-04-21 15:16:12,0.535s,PASSED
"setText(findTestObject(""registration page/email_no""), no_email)",Firefox 88.0,,,2021-04-21 15:16:12,2021-04-21 15:16:13,0.761s,PASSED
"reinput = verifyElementVisible(findTestObject(""registration page/reinput_email""), OPTIONAL)",Firefox 88.0,,,2021-04-21 15:16:13,2021-04-21 15:16:13,0.488s,PASSED
if (reinput == true),Firefox 88.0,,,2021-04-21 15:16:13,2021-04-21 15:16:13,0.000s,PASSED
